#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
25400;-306182.06331109046;23947.89806185593;147.08388092544607;186.68273272739543;691
25500;-306410.9106011295;24174.69312187651;148.4768172706896;186.2135671240967;690
25600;-306010.18818902015;24170.062279685924;148.44837543251302;186.24123911702415;690
25700;-305567.3684868717;23964.00370310599;147.18279901060467;186.34950710218712;690
25800;-305790.2619194889;24334.56982352912;149.45875254066138;186.7996671541561;690
25900;-305502.02888726234;24098.719064964273;148.010197648732;186.78289518140687;690
26000;-305897.1145806217;24468.382156915264;150.28060493285412;186.53904903148208;690
26100;-305347.0844292545;24580.2218660044;150.96750523666844;186.46146647648814;690
26200;-305277.16877984046;25009.759815080324;153.6056536199486;186.27215376928578;690
26300;-305365.5060601139;25272.945127864834;155.22209265384362;186.27215376928578;690
26400;-305105.93025444984;25114.20933632541;154.24716465803013;186.09563498149424;689
26500;-305361.1513237858;25042.375309288618;153.8059723892229;186.06185858783658;689
26600;-305367.4229302311;25163.42134440632;154.54941636788703;185.90923868695734;689
26700;-305056.2763237858;25126.56289095478;154.3230380709459;186.28631932285296;689
26800;-304907.8603081608;25041.892530997982;153.8030072477967;186.11367667143872;689
26900;-305081.36201714515;25277.997556812013;155.2531238055435;185.7758628936478;689
27000;-305019.9102349186;25250.472134487005;155.08406738442392;185.8008631574719;689
27100;-304403.87080620765;25305.921251797467;155.42462634900812;185.74319920135605;689
27200;-304376.8261284733;25516.88071241253;156.7203031597686;185.88075905297586;689
27300;-304093.892046442;25577.35275059496;157.0917120425177;185.967421279647;689
27400;-304145.0598931217;25897.148843849194;159.0558447768034;185.83415832367191;689
27500;-303920.6161675358;25800.108058223675;158.45983692170944;185.8081890307694;689
27600;-303869.0614800358;26097.551271479228;160.2866821023412;185.72548973771688;689
27700;-303731.9190239811;25920.34564203074;159.19831553113738;186.1429794975752;689
27800;-304018.7415337467;26253.062805616646;161.24180726240832;185.57210575689183;689
27900;-303615.19197319984;26092.86658504361;160.2579095620502;185.44974631786425;689
28000;-303937.21541069984;26476.298556522583;162.6128829417745;185.51588175876552;689
28100;-303244.2295708561;26477.18206448946;162.61830929611514;185.59176370041538;689
28200;-302915.1806206608;26824.224030468555;164.74978150584133;185.96893539670964;689
28300;-302437.2440972233;26590.61152497129;163.31497358021448;185.62926189155235;689
28400;-302609.2392144108;27030.888625057996;166.01907998638376;185.8097597265199;689
28500;-302453.8166069889;26970.461859927163;165.64794916294963;185.4058676609779;689
28600;-302645.44294976234;27307.234793839743;167.71635073967957;185.16273567117167;689
28700;-302319.5694146061;26992.535356484004;165.7835207914403;185.69620246449077;689
28800;-302447.4589409733;27203.129650350136;167.07695481068401;186.07385997752613;689
28900;-302383.3938774967;27473.06228307297;168.73483472593787;185.87000834922208;689
29000;-301980.56318902015;26925.538629025803;165.37203838666292;185.3157478073709;688
29100;-302054.25166558265;27720.637127799797;170.25539694346028;185.1416241922539;688
29200;-301682.7881646061;27827.31422410166;170.91058936533412;185.23607030042132;688
29300;-301541.2440972233;27959.6099283796;171.72312688176686;185.43768102275044;688
29400;-301229.4798149967;27859.87333045446;171.11056181007498;185.7029415997326;688
29500;-301171.76826714515;28024.00219063612;172.1186131081486;185.9239436878261;688
29600;-301230.61299370765;28232.71600509982;173.40049754555446;185.9239436878261;688
29700;-300893.80452202796;27865.858191888197;171.14731980212093;186.09661291925917;688
29800;-301190.37288140296;28160.524707700766;172.9571109834825;186.1408059855708;688
29900;-301081.21174859046;28278.47944910318;173.6815687665502;185.96121586862907;688
30000;-301042.7425103092;28323.830640974455;173.9601080056848;185.70696453134698;688
30100;-300698.23030327796;28301.77292307772;173.8246332870172;185.87973481319636;688
30200;-300398.4438042545;28418.446973940147;174.5412252885287;185.53310366023894;688
30300;-300431.9386773014;28864.33122308948;177.27976984216832;185.47208468356902;688
30400;-300017.7694878483;28787.385814964247;176.80718434772453;185.73270644954712;688
30500;-300210.89814995765;28998.123097815143;178.10149658077864;185.38695531231505;688
30600;-300017.8996148014;28827.870148374932;177.0558321772477;185.3157902205411;688
30700;-300224.03486870765;29125.190261315438;178.88192129686595;185.25469626824938;688
30800;-299984.9660210514;28940.3302801823;177.74654301094552;185.3721077875894;688
30900;-299904.3233208561;29054.94771477772;178.45050362821846;185.11244881301351;688
31000;-300123.13112114905;29428.449008826166;180.744484491066;184.72114355295014;688
31100;-299634.03694390296;29562.401675559;181.56719878659575;185.08844467041763;688
31200;-299557.5321831608;29811.860411449743;183.09933154040968;185.1026287538033;688
